grouping,mc_run_id,mean_ghgs,mean_land,mean_watscar,mean_eut,mean_ghgs_ch4,mean_ghgs_n2o,mean_bio,mean_watuse,mean_acid,sd_ghgs,sd_land,sd_watscar,sd_eut,sd_ghgs_ch4,sd_ghgs_n2o,sd_bio,sd_watuse,sd_acid,n_participants,sex,diet_group,age_group
fish_female_20-29,500.5,4.902947125081,6.489030806882,17131.963351906,20.98546417884,0.842863531942,0.32248610693799995,248.13521166088,759.2372105686,22.77095614381,1.819123920078,2.895212048313,7315.274034074,7.189752374844,0.457344848233,0.13418651743999999,152.08114385190999,353.39512120250004,8.314473932628,1329.0,female,fish,20-29
fish_female_30-39,500.5,4.942664483793,6.515886259015,17652.628539581,20.94844234705,0.836500414364,0.321970771612,249.82768412553,759.6296132108,23.25777137329,1.727492877407,2.723230549027,7515.542349656,6.925886094784,0.43447799015099997,0.126575809142,147.73075121684,350.9844343963,7.925312465938999,2024.0,female,fish,30-39
fish_female_40-49,500.5,4.927040172677,6.540681894736,17729.964755823003,20.71379812245,0.841105793907,0.320413037196,252.8469224143,748.4887548866,23.47016991168,1.732307410485,2.518287601958,7642.383967868999,6.733436613375,0.45516450583699997,0.12877155555300002,156.43353806849998,350.6272884023,8.131584102934,1689.0,female,fish,40-49
fish_female_50-59,500.5,4.9443203337909996,6.566172011315,18446.193258613002,20.98928406101,0.8348812859450001,0.323892204601,246.78991162713,788.9322758300999,23.65247351582,1.851260254913,2.780670865847,8322.71901659,7.751549737186999,0.468677750973,0.129588745203,152.83023660898,420.222384509,8.578844560577,946.0,female,fish,50-59
fish_female_60-69,500.5,5.103822518681,6.86663521717,18922.366830963998,21.5693218284,0.8796700116770001,0.336023122898,258.6457589212,819.8566042607,24.45523960965,1.8869361105590001,2.9417936763120003,8307.791478347,7.400675924227,0.486861158199,0.134745629249,163.0201367935,413.1980022718,8.663941148644,492.0,female,fish,60-69
fish_female_70-79,500.5,4.990762890714,6.874727609523,18969.983047527,21.031888714150003,0.856399301444,0.339623117706,259.3465740337,798.6883514766,23.79125870694,1.792141245686,2.593008278506,8655.525323343,7.076769008826,0.462439398586,0.13532078876700002,163.44944808836,414.9017814548,8.362591925434,195.0,female,fish,70-79
fish_male_20-29,500.5,5.659688871226,7.381889374139,19671.024653972,24.16296423136,0.925972458962,0.366328778242,273.61230867980004,860.9797440421,26.07889770118,1.953631469236,2.834013044191,9963.979377683001,8.699556658336,0.468798103762,0.147788470749,157.05029067058,445.4128014149,8.999908035485,163.0,male,fish,20-29
fish_male_30-39,500.5,5.327205952942,6.977105921564,18953.095158366,22.64406376393,0.854536975955,0.343782185164,262.36083815800004,818.7127748626,24.7101459431,1.841069200418,2.7020021499849998,8373.150539891,7.725306069497,0.451390097877,0.13369919288899998,151.25457660351,389.56420208120005,8.585201586732001,412.0,male,fish,30-39
fish_male_40-49,500.5,5.2018026093489995,6.890941560395,18288.937588674,21.83736510336,0.8449882635679999,0.334051387364,258.0881295996,782.1927528884,24.0201797372,1.794120113972,2.945197443248,8659.723271996001,7.0565703056619995,0.448261866683,0.129435495994,151.62238857901,376.5816065491,8.347864694190001,432.0,male,fish,40-49
fish_male_50-59,500.5,5.142355789303,6.693609079474,18449.190579349,21.6210952687,0.834246073905,0.330226228599,253.04056564409998,792.1768306865999,24.15116507942,1.850940547971,2.466195604124,8329.322364048001,7.421465211435,0.45983831441,0.127719034089,153.55465010453,399.1740771072,8.753313097734999,214.0,male,fish,50-59
fish_male_60-69,500.5,5.153826680613,7.048903698705001,18767.057425435,21.62918783632,0.86562521819,0.34316584900499997,259.6548954935,799.0613245367,24.00580233145,2.1819339286640003,3.852816634646,8399.988393306001,8.504025027327,0.566939208163,0.163957616479,181.46141772865002,390.89656046700003,9.39982090652,159.0,male,fish,60-69
fish_male_70-79,500.5,5.303953641929,7.391856969142,19804.958474144,22.634509940759997,0.901249895287,0.35798155040199997,265.89959333810003,854.7060662992001,24.857307577700002,1.787458505865,2.82305760793,9339.314443082,8.276554831034,0.461509472973,0.14003002648899998,146.26641549345,443.1853909826,7.673710632231,68.0,male,fish,70-79
meat 100+_female_20-29,500.5,10.191268743064,20.378573320193002,22092.64119835,40.55897416327,2.111090371546,0.757689990564,387.3900835552,971.149334013,43.73742749378,3.47215774116,10.126946427282,7772.000325628999,13.053763187547,0.876415642858,0.265106143147,190.37653941185002,366.8336737056,12.013844302349,393.0,female,meat100,20-29
meat 100+_female_30-39,500.5,10.421548409817,21.112200345029,22088.09234693,39.66536518666,2.165169892297,0.764294561514,394.7072268858,963.719351362,43.95259149038,3.524736275409,10.474940246444001,7356.846183515,11.546816824975,0.8632525459529999,0.261637536304,186.27204475425998,355.1354239234,11.597746528028999,778.0,female,meat100,30-39
meat 100+_female_40-49,500.5,11.242124224869,23.997330527419,21672.3632331,40.57825866176,2.393374592696,0.8146241725469999,419.27713771789996,938.6140902881,45.37750285845,3.721250329263,11.332183960039,7269.325769077001,11.560343799984999,0.918626972166,0.270180548375,192.26368268051002,354.4078744644,11.610040712341,1935.0,female,meat100,40-49
